REFERENCE,PLACENAME,DESIGNATION,STATUS,GAZETTE DATE,GEOGRAPHICAL NAME,PREVIOUS NAMES,GNB FILE,LGA,APPROX. AGD66 LAT,APPROX. AGD66 LONG,APPROX. GDA94 LAT,APPROX. GDA94 LONG,AGD66 TOPO MAP,1:100000 MAP NAME,1:100000 MAP NO,PARISH,COUNTY,DESCRIPTION,MEANING,ORIGIN,HISTORY
37922,Mill Bay,BAY,ASSIGNED,21st June 1985,"","","",GREAT LAKES,-32  23  00, 152  21  00,-32  22  54, 152  21  04,MYALL LAKE,BULAHDELAH,9333,TOPI TOPI,GLOUCESTER,A bay situated about 4 km WSW of Burraduc and to the East of Mayers Bay.          ,   ,A sawmill is said to have been located here. An old railway from the forests to the north west ended near here.   ,  
38482,Mobbs Bay,BAY,ASSIGNED,21st May 1971,"","","",BALLINA,-28  53  00, 153  34  00,-28  52  54, 153  34  04,EMPIRE VALE,BALLINA,9640,SOUTH BALLINA,RICHMOND,Indentation in the southern bank of the Richmond River opposite Ballina.          ,   ,    ,  
39017,Mooney Mooney Bay,BAY,ASSIGNED,19th November 1976,"",Big Bay,"",GOSFORD,-33  31  30, 151  12  00,-33  31  24, 151  12  04,COWAN,SYDNEY,9130,COWAN,NORTHUMBERLAND,A bay about 1 km S of Snake Island and about 1 km NE by N of Peat Island.          ,   ,    ,  
39132,Moores Bay,BAY,ASSIGNED,2nd January 1976,"","","",YASS VALLEY,-34  58  30, 148  41  30,-34  58  24, 148  41  34,YASS,YASS,8628,NARRANGULLEN,COWLEY,A bay about 8km E by S of Barren Jack Trig Station and about 3km SW of Bluebell Hill.  It is situated on Lake Burrinjuck.         ,   ,    ,  
39353,Morning Bay,BAY,ASSIGNED,31st August 1984,"",Towlers Bay,GNB2550,WARRINGAH,-33  37  30, 151  17  00,-33  37  24, 151  17  04,BROKEN BAY,SYDNEY,9130,BROKEN BAY,CUMBERLAND,A bay within Pittwater about 3 km W of Paradise Beach and about 3km W of Paradise Beach and about 5 km SE of Challenger Head.          ,   ,"Morning Bay was named by Captain F W Sidney when he surveyed Pittwater between 1868 and 1872, and is shown on Admiralty Chart BA 2166.  (See also Agenda for Board's meeting on 25 June 1984, pp.25-26)  (Swancott C 19.., `Dee Why to Barrenjoey and Pittwater`, p.10)","The bay was originally called `Morning Bay`.  Then on 21 January 1977, the name `Towlers Bay ` was assigned.  `Morning Bay` was assigned for the bay on 31 August 1984."
39401,Morrisons Bay,BAY,ASSIGNED,19th November 1976,"","",GNB307,RYDE,-33  50  00, 151  06  00,-33  49  54, 151  06  04,PARRAMATTA RIVER,SYDNEY,9130,HUNTERS HILL,CUMBERLAND,A bay on Parramatta River about 2 km SSE of Ryde.           ,   ,"MORRISONS BAY - named after Alexander Morrison, settler P. 326 p. 396 (Infor. from RAHS Journal Vol 31 Pt 5 & 6)   ",  
39420,Mort Bay,BAY,ASSIGNED,18th February 1977,"",Morts Bay; Waterview Bay (R),"",LEICHHARDT,-33  51  00, 151  11  00,-33  50  54, 151  11  04,PARRAMATTA RIVER,SYDNEY,9130,PETERSHAM,CUMBERLAND,A bay within Port Jackson about 1 km W by N of Millers Point.           ,   ,"Was named after Thomas Sutcliffe Mort,who founded the ship building industry. Maritime Services Board,Port of Sydney, Vol9 No3 Sept.1965.  ",Morts dry dock built in 1854 opened onto this bay. Same ref. as above. 
39455,Morts Bay,BAY,VARIANT,"",Mort Bay,"","","",-33  51  00, 151  11  00,-33  50  54, 151  11  04,"",SYDNEY,9130,"","",           ,   ,    ,  
39504,Mosman Bay,BAY,VARIANT,"",Mosmans Bay,"","","",-33  50  00, 151  13  00,-33  49  54, 151  13  04,"",SYDNEY,9130,"","",           ,   ,"MOSMAN BAY - first named Great Sirius Cove, then named after Archibald Mosman, a land owner. P. 331. (Infor. from RAHS Journal Vol 31 Pt 5 Vol 4. P 446.  ",  
39505,Mosman Bay or Goram-Bullagong,BAY,VARIANT,"",Mosmans Bay,"","","",-33  50  00, 151  13  00,-33  49  54, 151  13  04,"",SYDNEY,9130,"","",           ,   ,    ,  
