REFERENCE,PLACENAME,DESIGNATION,STATUS,GAZETTE DATE,GEOGRAPHICAL NAME,PREVIOUS NAMES,GNB FILE,LGA,APPROX. AGD66 LAT,APPROX. AGD66 LONG,APPROX. GDA94 LAT,APPROX. GDA94 LONG,AGD66 TOPO MAP,1:100000 MAP NAME,1:100000 MAP NO,PARISH,COUNTY,DESCRIPTION,MEANING,ORIGIN,HISTORY
44146,One Mile Beach,BEACH,ASSIGNED,17th September 1976,"","","",PORT STEPHENS,-32  47  00, 152  07  00,-32  46  54, 152  07  04,MORNA POINT,PORT STEPHENS,9332,TOMAREE,GLOUCESTER,A beach about 2 km long on the shore of Anna Bay.           ,   ,    ,  
44424,Oura Beach,BEACH,ASSIGNED,23rd October 1970,"","","",WAGGA WAGGA,-35  07  00, 147  32  00,-35  06  54, 147  32  04,COREINBOB,TARCUTTA,8427,OURA,CLARENDON,Beach on the Murrumbidgee River south of Oura.           ,   ,  Their may be a connection with a well known beach of this name in southern Portugal.   ,  
44536,Oxleys Beach,BEACH,ASSIGNED,6th April 1973,"","","",HASTINGS,-31  26  00, 152  55  00,-31  25  54, 152  55  04,PORT MACQUARIE,KEMPSEY,9435,MACQUARIE,MACQUARIE,A beach on the North Coast at Port Macquarie North of Rocky Beach and South of Green Mound.          ,   ,    ,  
44620,Paddys Beach,BEACH,ASSIGNED,8th March 1985,"","","",BERRIGAN,-35  55  00, 145  42  00,-35  54  54, 145  42  04,TOCUMWAL,BERRIGAN,8026,COTTADIDDA,DENISON,A beach on the south side of the Murray River about 5 km east of Cobram.          ,   ,    ,  
44794,Palm Beach,BEACH,ASSIGNED,21st January 1977,"","","",PITTWATER,-33  36  00, 151  19  30,-33  35  54, 151  19  34,BROKEN BAY,SYDNEY,9130,NARRABEEN,CUMBERLAND,A beach on the coast at the southern end of the east side of the isthmus.          ,   ,Got its name from the cabbage tree palms which grew there.    ,It was once called Cranky Alice Beach.  
44797,Palm Beach,BEACH,VARIANT,"",Sanctuary Beach,"","","",-35  07  00, 150  38  00,-35  06  54, 150  38  04,"",JERVIS BAY,9027,"","",           ,   ,    ,  
44863,Pambula Beach,BEACH,ASSIGNED,12th August 1977,"",Jiguma,GNB1086,BEGA VALLEY,-36  56  00, 149  54  00,-36  55  54, 149  54  04,PAMBULA,BEGA,8824,PAMBULA,AUCKLAND,A beach about 1 km E of Pambula Beach (Village) and about 4 km SE by E of Pambula.          ,   ,    ,  
44954,Paradise Beach,BEACH,ASSIGNED,17th November 1972,"","","",SHOALHAVEN,-35  07  00, 150  37  00,-35  06  54, 150  37  04,HUSKISSON,JERVIS BAY,9027,BHERWERRE,ST VINCENT,"A beach on the NE Shore of St. Georges Basin, adjacent to the Village of Sanctuary Point.          ",   ,    ,  
44955,Paradise Beach,BEACH,ASSIGNED,21st January 1977,"",Long Beach; Powells Beach Nr.,"",PITTWATER,-33  37  30, 151  19  00,-33  37  24, 151  19  04,BROKEN BAY,SYDNEY,9130,NARRABEEN,CUMBERLAND,A beach on Pittwater W of Careel Bay (suburb) and about 1 km S of Stokes Point.          ,   ,    ,Previously known as Long Beach from Stokes Point southward until broken down into separate beaches. 
45006,Park Beach,BEACH,ASSIGNED,17th May 1968,"","","",COFFS HARBOUR,-30  18  00, 153  07  00,-30  17  54, 153  07  04,COFFS HARBOUR,COFFS HARBOUR,9537,COFF,FITZROY,The ocean beach north of Coffs Harbour and south of Macauleys Headland.          ,   ,    ,  
45007,Park Beach,BEACH,ASSIGNED,6th October 1972,"","","",COFFS HARBOUR,-30  17  00, 153  08  00,-30  16  54, 153  08  04,COFFS HARBOUR,COFFS HARBOUR,9537,COFF,FITZROY,A coastal beach about 3 km East North East of Town of Coffs Harbour.           ,   ,    ,  
45066,Parkyns Beach,BEACH,ASSIGNED,20th February 1976,"","","",WOLLONGONG,-34  29  30, 150  55  30,-34  29  24, 150  55  34,WOLLONGONG,WOLLONGONG,9029,WOLLONGONG,CAMDEN,A beach on the West coast of Big Island about 1 km E of Illowra Trig Station and about 2.5km E by S of Port Kembla.          ,   ,    ,  
45200,Patches Beach,BEACH,ASSIGNED,2nd August 1974,"","","",BALLINA,-28  57  30, 153  30  10,-28  57  24, 153  30  14,EMPIRE VALE,BALLINA,9640,SOUTH BALLINA,RICHMOND,A coastal beach about 12 km SW of the mouth of the Richmond River.           ,   ,    ,  
45219,Patonga Beach,BEACH,ASSIGNED,21st January 1977,"","","",GOSFORD,-33  33  00, 151  16  30,-33  32  54, 151  16  34,BROKEN BAY,SYDNEY,9130,PATONGA,NORTHUMBERLAND,A beach on the shore of Brisk Bay about 1 km N of Pacific Head and about 4 km WSW of Mount Ettalong.          ,   ,    ,  
45403,Pearl Beach,BEACH,ASSIGNED,1st June 1973,"","","",LAKE MACQUARIE,-33  03  30, 151  34  45,-33  03  24, 151  34  49,SWANSEA,LAKE MACQUARIE,9231,AWABA,NORTHUMBERLAND,A beach on Lake Macquarie about 3 km WNW of Wongi Wongi Point.           ,   ,    ,  
45404,Pearl Beach,BEACH,ASSIGNED,22nd February 1974,"","","",GOSFORD,-33  32  40, 151  18  25,-33  32  34, 151  18  29,BROKEN BAY,SYDNEY,9130,PATONGA,NORTHUMBERLAND,A beach on the western shore of Broken Bay about 2 km NNW of Lion Island.          ,   ,    ,  
45431,Pebbly Beach,BEACH,ASSIGNED,8th March 1985,"","","",BERRIGAN,-35  49  00, 145  33  00,-35  48  54, 145  33  04,TOCUMWAL,BERRIGAN,8026,TOCUMWAL,DENISON,"A beach on the south side of the Murray River at Tocumwal, about 600 metres SE of the railway bridge.          ",   ,    ,  
45432,Pebbley Beach,BEACH,VARIANT,"",Pebbly Beach,"","","",-32  04  30, 152  32  00,-32  04  24, 152  32  04,"",FORSTER,9433,"","",           ,   ,    ,  
45433,Pebbley Beach,BEACH,VARIANT,"",Pebbly Beach,"","","",-32  11  00, 152  31  00,-32  10  54, 152  31  04,"",FORSTER,9433,"","",           ,   ,    ,  
45434,Pebbly Beach,BEACH,ASSIGNED,19th October 1973,"","","",CLARENCE VALLEY,-29  41  00, 153  20  00,-29  40  54, 153  20  04,SANDON,BARE POINT,9538,CANDOLE,CLARENCE,A coastal beach SSE of Sandon.           ,   ,    ,  
45435,Pebbly Beach,BEACH,ASSIGNED,22nd December 1967,"","","",SHOALHAVEN,-35  37  00, 150  20  00,-35  36  54, 150  20  04,KIOLOA,BATEMANS BAY,8926,KIOLOA,ST VINCENT,A beach about 0.5 km long situated on the south coast of N.S.W. about 6.5 km east of East Lynne.          ,   ,    ,  
45436,Pebbly Beach,BEACH,ASSIGNED,12th September 1975,"",Pebbley Beach,"",GREATER TAREE,-32  04  30, 152  32  00,-32  04  24, 152  32  04,HALLIDAYS POINT,FORSTER,9433,BERYAN,GLOUCESTER,A beach S of Hallidays Point. It is about 0.5 km long and about 1km ESE of Hallidays Point.          ,   ,    ,  
45437,Pebbly Beach,BEACH,ASSIGNED,12th September 1975,"",Pebbley Beach,"",GREAT LAKES,-32  11  00, 152  31  00,-32  10  54, 152  31  04,FORSTER,FORSTER,9433,FORSTER,GLOUCESTER,A beach to the E of South Head and about 1 km N by W of Forster Cemetery.          ,   ,    ,  
45438,Pebbly Beach,BEACH,ASSIGNED,29th June 1973,"","","",KEMPSEY,-31  11  00, 152  59  00,-31  10  54, 152  59  04,KUNDABUNG,KEMPSEY,9435,PALMERSTON,MACQUARIE,A beach S of Little Nobby and N of Crescent Head.           ,   ,    ,  
45439,Pebbly Beach,BEACH,ASSIGNED,1st June 1973,"",Peddly Beach,"",LAKE MACQUARIE,-33  04  30, 151  35  30,-33  04  24, 151  35  34,SWANSEA,LAKE MACQUARIE,9231,AWABA,NORTHUMBERLAND,A beach on Lake Macquarie about 2 km N of Pulbah Island.           ,   ,    ,  
45440,Pebbly Beach,BEACH,ASSIGNED,26th October 1984,"",Pebbley Beach; Gravelly,GNB4594,WYONG,-33  17  00, 151  34  00,-33  16  54, 151  34  04,TOUKLEY,LAKE MACQUARIE,9231,WALLARAH,NORTHUMBERLAND,"A beach about 1 km long extending north from Soldiers Point, situated about 1 km SE of Norah Head and about 2.5 km SSE of Noraville.          ",   ,    ,  
45441,Pebbley Beach,BEACH,VARIANT,"",Pebbly Beach,"","","",-33  17  00, 151  34  00,-33  16  54, 151  34  04,"",LAKE MACQUARIE,9231,"","",           ,   ,    ,  
45529,Pelican Beach,BEACH,ASSIGNED,13th March 2015,"","",GNB5704,WYONG,-33  17  52, 151  33  27,-33  17  46, 151  33  31,TOUKLEY,LAKE MACQUARIE,9231,WALLARAH,NORTHUMBERLAND,"A beach extending from Pelican Point, south to the northern suburb boundary of Magenta.          ",   ,    ,  
45718,Perkins Beach,BEACH,ASSIGNED,7th September 1973,"",South Beach,"",WOLLONGONG,-34  31  00, 150  53  00,-34  30  54, 150  53  04,ALBION PARK,KIAMA,9028,WOLLONGONG,CAMDEN,"A beach about 8 km long, extending from Red Point to Berrwarra Point. It is about 1 km SE of Primbee.          ",   ,    ,  
45947,Piccaninny Beach,BEACH,ASSIGNED,7th July 1972,"","","",EUROBODALLA,-36  05  00, 150  08  00,-36  04  54, 150  08  04,BODALLA,NAROOMA,8925,BODALLA,DAMPIER,"A coastal beach between Blackfellows Point, and Jabarrah Point, about 2km south of Tuross Head.          ",   ,    ,  
45978,Picnic Beach,BEACH,ASSIGNED,22nd February 1974,"","","",BEGA VALLEY,-36  37  00, 150  02  00,-36  36  54, 150  02  04,MURRAH,GOALEN POINT,8924,WAPENGO,DAMPIER,A coastal beach about 1.5 km S by W of Bengunnu Point and about 1/2 km SSE of Ginns Lookout.          ,   ,    ,  
46178,Pilot Beach,BEACH,ASSIGNED,23rd February 1973,"","","",HASTINGS,-31  38  00, 152  50  00,-31  37  54, 152  50  04,LAURIETON,CAMDEN HAVEN,9434,CAMDEN HAVEN,MACQUARIE,"A beach west of Perpendicular Point about 4 km ENE of Town of Laurieton. An ocean beach about 1 km long, extending to the N.W. from Perpendicular Point to the Camden Haven Inlet.         ",   ,    ,  
46470,Pinny Beach,BEACH,ASSIGNED,24th October 1975,"","","",LAKE MACQUARIE,-33  07  55, 151  38  30,-33  07  49, 151  38  34,CATHERINE HILL BAY,LAKE MACQUARIE,9231,WALLARAH,NORTHUMBERLAND,"A coastal beach about 5.3 km south, south west of Reids Mistake Head and 0.4km south west of Quarries Head.          ",   ,    ,  
46605,Pippi Beach,BEACH,ASSIGNED,2nd November 1973,"","","",CLARENCE VALLEY,-29  27  00, 153  22  00,-29  26  54, 153  22  04,YAMBA,WOODBURN,9539,YAMBA,CLARENCE,A beach extending about 2 km between Barri Point and Yamba Point.           ,   ,    ,  
46706,Platt Beach,BEACH,ASSIGNED,27th April 1984,"","","",LEETON,-34  43  00, 146  27  00,-34  42  54, 146  27  04,GOGELDRIE WEIR,YANCO,8128,CUDGEL,COOPER,A beach on the Murrumbidgee River about 9 km S by W of Roach.           ,   ,    ,  
46779,Plumbago Beach,BEACH,ASSIGNED,11th June 1982,"","","",CLARENCE VALLEY,-29  33  00, 153  20  00,-29  32  54, 153  20  04,BROOMS HEAD,BARE POINT,9538,YAMBA,CLARENCE,Beach located approx 2 km N by E of Red Cliff and approx 1 1/2 km S by E of Lake Arragan.          ,   ,    ,  
46832,The Point Beach,BEACH,VARIANT,"",Point Beach,"","","",-34  35  50, 146  01  45,-34  35  44, 146  01  49,"",YANCO,8128,"","",           ,   ,    ,  
46833,Point Beach,BEACH,ASSIGNED,21st June 1985,"",The Point Beach,"",LEETON,-34  35  50, 146  01  45,-34  35  44, 146  01  49,WHITTON,YANCO,8128,CUBA,COOPER,A beach situated on the Murrumbidgee River about 5 km SSE of Darlington Point (Town).          ,   ,    ,  
47144,Port Kembla Beach,BEACH,VARIANT,"",North Beach,"","",WOLLONGONG,-34  29  00, 150  54  30,-34  28  54, 150  54  34,"",WOLLONGONG,9029,"","",           ,   ,    ,  
47178,Portuguese Beach,BEACH,ASSIGNED,21st January 1977,"",Sandy Beach,"",PITTWATER,-33  36  30, 151  18  00,-33  36  24, 151  18  04,BROKEN BAY,SYDNEY,9130,BROKEN BAY,CUMBERLAND,A beach on Portuguese Bay about 4 km SSW of Shark Rock and about 1 km SE of Bonney Doon Wharf.          ,   ,    ,  
47208,Potato Beach,BEACH,DISCONTINUED,2nd July 1989,Potato Point Beach,"","",EUROBODALLA,-36  06  00, 150  08  00,-36  05  54, 150  08  04,BODALLA,NAROOMA,8925,BODALLA,DAMPIER,"A coastal beach between Jabarrah Point and Potato Point, about 3km south of Tuross Head.          ",   ,    ,  
47288,Powells Beach,BEACH,VARIANT,"",Paradise Beach,"","","",-33  37  30, 151  19  00,-33  37  24, 151  19  04,"",SYDNEY,9130,"","",           ,   ,    ,  
47344,Pretty Beach,BEACH,ASSIGNED,22nd December 1967,"","","",SHOALHAVEN,-35  34  00, 150  22  00,-35  33  54, 150  22  04,KIOLOA,BATEMANS BAY,8926,KIOLOA,ST VINCENT,A beach about 200 yards long situated on the south coast of N.S.W. It is about 3 km south by west of Kioloa.          ,   ,    ,  
47345,Pretty Beach,BEACH,ASSIGNED,21st January 1977,"","","",GOSFORD,-33  32  00, 151  20  30,-33  31  54, 151  20  34,BROKEN BAY,SYDNEY,9130,KINCUMBER,NORTHUMBERLAND,A beach on Brisbane Water about 2 km N of Box Head and about 1 km SE of Kourung Gourung Point.          ,   ,    ,  
47394,Priests Beach,BEACH,VARIANT,"",Kiama Surf Beach,"","","",-34  40  00, 150  51  00,-34  39  54, 150  51  04,"",KIAMA,9028,"","",           ,   ,    ,  
47481,Providence Beach,BEACH,ASSIGNED,12th November 1976,"",North Beach,"",GREAT LAKES,-32  37  00, 152  19  00,-32  36  54, 152  19  04,BOMBAH POINT,PORT STEPHENS,9332,FENS,GLOUCESTER,A beach on the north side of Broughton Island about 0.5 km long.           ,   ,    ,  
47595,Pumphouse Beach,BEACH,ASSIGNED,8th March 1985,"",Pumphouse Beach No 2,"",BERRIGAN,-35  57  00, 145  45  00,-35  56  54, 145  45  04,TOCUMWAL,BERRIGAN,8026,COTTADIDDA,DENISON,"A beach on the south side of the Murray River, situated about 2 km SSE of Backhouse Hill and about 8 km SE of Barooga.          ",   ,    ,  
47596,Pumphouse Beach No 2,BEACH,VARIANT,"",Pumphouse Beach,"","","",-35  57  00, 145  45  00,-35  56  54, 145  45  04,"",BERRIGAN,8026,"","",           ,   ,    ,  
47691,Putty Beach,BEACH,ASSIGNED,21st January 1977,"",Killcare Beach,"",GOSFORD,-33  32  00, 151  22  00,-33  31  54, 151  22  04,BROKEN BAY,SYDNEY,9130,KINCUMBER,NORTHUMBERLAND,A coastal beach about 2 km E of Wagstaff and about 4 km SSW of Bensville.          ,   ,    ,  
47837,Quarry Beach,BEACH,ASSIGNED,11th May 1973,"","","",LAKE MACQUARIE,-33  07  30, 151  38  40,-33  07  24, 151  38  44,SWANSEA,LAKE MACQUARIE,9231,WALLARAH,NORTHUMBERLAND,A beach about 1 km long. It extends between Spoon Rocks and Quarries Head.          ,   ,    ,  
47851,Quarantine Beach,BEACH,ASSIGNED,18th January 1985,"","",GNB2663,MANLY,-33  49  00, 151  17  00,-33  48  54, 151  17  04,SYDNEY HEADS,SYDNEY,9130,MANLY COVE,CUMBERLAND,"A small beach within spring cove, located immediately to the east of Cannae Point, and below the site of the old North Head Quarantine Station.         ",   ,This beach adjoins the former Quarantine Station.    ,  
47942,Queenscliff Beach,BEACH,ASSIGNED,16th July 1976,"","","",MANLY,-33  47  30, 151  17  00,-33  47  24, 151  17  04,SYDNEY HEADS,SYDNEY,9130,MANLY COVE,CUMBERLAND,A beach extending south from Curl Curl Head and being part of Cabbage Tree Beach.          ,   ,    ,  
47961,Quicks Beach,BEACH,ASSIGNED,8th March 1985,"","","",BERRIGAN,-35  55  00, 145  41  00,-35  54  54, 145  41  04,TOCUMWAL,BERRIGAN,8026,COTTADIDDA,DENISON,A beach on the north side of the Murray River about 3 km SE by S of Barooga and about 27 km SE of Tocumwal.          ,   ,    ,  
48057,Racecourse Beach,BEACH,ASSIGNED,22nd December 1967,"","","",SHOALHAVEN,-35  32  20, 150  24  00,-35  32  14, 150  24  04,KIOLOA,BATEMANS BAY,8926,TERMEIL,ST VINCENT,"A  beach about 2 km NE of Kioloa,extending from Shelly Point to Bull Pup Point.          ",   ,    ,  
48058,Racecourse Beach,BEACH,DISCONTINUED,12th January 1990,RENNIES BEACH,"",GNB3311,SHOALHAVEN,-35  22  10, 150  28  37,-35  22  04, 150  28  41,MILTON,ULLADULLA,8927,ULLADULLA,ST VINCENT,A beach about 0.75 km long on the coast of N.S.W. about 1.25 km generally south south east of the Town of Ulladulla and 1.25 km west of Warden Head.         ,   ,    ,  
48122,Rainbow Beach,BEACH,ASSIGNED,22nd February 1973,"","","",HASTINGS,-31  34  00, 152  50  00,-31  33  54, 152  50  04,GRANTS HEAD,CAMDEN HAVEN,9434,QUEENS LAKE,MACQUARIE,A beach about 3.5 km by road SSW of Lake Cathie village.           ,   ,    ,  
48497,Redbank Beach,BEACH,ASSIGNED,8th March 1985,"","","",BERRIGAN,-35  57  00, 145  51  00,-35  56  54, 145  51  04,TOCUMWAL,BERRIGAN,8026,BOOMANOOMANA,DENISON,A beach situated on the south side of the Murray River about 14 km E by S of Barooga and about 7 km SW by S of Gwynne Hill.          ,   ,    ,  
48563,Red Cliff Beach,BEACH,ASSIGNED,11th June 1982,"","","",CLARENCE VALLEY,-29  34  00, 153  20  00,-29  33  54, 153  20  04,BROOMS HEAD,BARE POINT,9538,YAMBA,CLARENCE,A beach located approx 3 km S of Lake Arragan and approx 4 km N by W of Buchanans Rock.          ,   ,    ,  
48622,Red Head Beach,BEACH,VARIANT,"",Saltwater Beach,"","","",-32  01  00, 152  33  00,-32  00  54, 152  33  04,"",FORSTER,9433,"","",           ,   ,    ,  
48623,Red Head Beach,BEACH,VARIANT,"",Diamond Beach,"","","",-32  02  00, 152  32  00,-32  01  54, 152  32  04,"",FORSTER,9433,"","",           ,   ,    ,  
48624,Redhead Beach,BEACH,ASSIGNED,11th May 1973,"","","",LAKE MACQUARIE,-33  01  00, 151  43  30,-33  00  54, 151  43  34,SWANSEA,LAKE MACQUARIE,9231,KAHIBAH,NORTHUMBERLAND,A beach about 1 km long. It extends between Redhead Point and Freshwater Creek.          ,   ,    ,  
48697,Red Hill Beach,BEACH,ASSIGNED,22nd February 1974,"","","",RICHMOND VALLEY,-29  07  30, 153  27  00,-29  07  24, 153  27  04,WOODBURN,WOODBURN,9539,RILEY,RICHMOND,A coastal beach at South Evans Head about 2 km ESE of the town of Evans Head.          ,   ,    ,  
48740,Red Ochre Beach,BEACH,ASSIGNED,15th October 1982,"","",GNB2296,WYONG,-33  12  00, 151  36  00,-33  11  54, 151  36  04,CATHERINE HILL BAY,LAKE MACQUARIE,9231,WALLARAH,NORTHUMBERLAND,A beach located about 5 km SSW of Catherine Hill Bay and about 4 km SE by E of Lake Munmorah.          ,   ,    ,  
48951,Reef Beach,BEACH,ASSIGNED,16th July 1976,"","","",MANLY,-33  48  30, 151  16  30,-33  48  24, 151  16  34,SYDNEY HEADS,SYDNEY,9130,MANLY COVE,CUMBERLAND,A beach about 1 km S of Fairlight and about 2 km NNW of Middle Head.           ,   ,REEF BEACH - So named because of reef at beach. P. 334. (Infr. from RAHS Journal Vol 31 Pt 5)   ,  
49064,Reserve Beach,BEACH,ASSIGNED,21st June 1985,"","","",LEETON,-34  34  00, 146  00  30,-34  33  54, 146  00  34,WHITTON,YANCO,8128,COLARAGANG,COOPER,A beach situated on the Murrumbidgee River about 1 km S of Darlington Point (Town)          ,   ,    ,  
49075,Resolute Beach,BEACH,ASSIGNED,21st January 1977,"","","",PITTWATER,-33  35  00, 151  18  00,-33  34  54, 151  18  04,BROKEN BAY,SYDNEY,9130,BROKEN BAY,CUMBERLAND,A beach on Pittwater about 2 km NNW of Sand Point and about 2 km W by S of Barrenjoey Trig. Station.          ,   ,    ,  
49161,Richmond Beach,BEACH,ASSIGNED,22nd December 1967,"","","",EUROBODALLA,-35  42  00, 150  17  00,-35  41  54, 150  17  04,DURRAS,BATEMANS BAY,8926,BENANDARAH,ST VINCENT,A 500 m long beach on the Tasman Sea about 3 km south of Durras.           ,   ,    ,  
49386,Rixons Beach,BEACH,ASSIGNED,30th May 1975,"","","",BEGA VALLEY,-37  04  00, 149  53  00,-37  03  54, 149  53  04,EDEN,EDEN,8823,EDEN,AUCKLAND,A small beach immediately east of Murrumbulga Point. Located about 2 km SW of Eden.          ,   ,    ,  
49477,Robins Beach,BEACH,ASSIGNED,2nd July 1971,"","","",BALLINA,-28  57  00, 153  31  00,-28  56  54, 153  31  04,BALLINA,BALLINA,9640,SOUTH BALLINA,RICHMOND,Ocean beach about 5 km south of Empire Vale.           ,   ,    ,  
49610,Rocky Beach,BEACH,ASSIGNED,6th April 1973,"","","",HASTINGS,-31  26  00, 152  55  00,-31  25  54, 152  55  04,PORT MACQUARIE,KEMPSEY,9435,MACQUARIE,MACQUARIE,A beach at Port Macquarie.North of Flynns Point and South of Oxleys Beach.          ,   ,    ,  
50027,Rosedale Beach,BEACH,ASSIGNED,10th December 1982,"","","",EUROBODALLA,-35  48  00, 150  13  00,-35  47  54, 150  13  04,MOGO,BATEMANS BAY,8926,BATEMAN,ST VINCENT,A beach about 3 km ENE of Tomakin and about 3 km S of Malua Bay.           ,   ,    ,  
50102,Rosherville (Chinamans) Beach,BEACH,VARIANT,"",Chinamans Beach,"","","",-33  48  00, 151  14  00,-33  47  54, 151  14  04,"",SYDNEY,9130,"","",           ,   ,    ,  
50809,Sailors Grave Beach,BEACH,VARIANT,"",Huskisson Beach,"","","",-35  03  00, 150  40  00,-35  02  54, 150  40  04,"",JERVIS BAY,9027,"","",           ,   ,    ,  
51015,Salmon Beach,BEACH,ASSIGNED,18th April 1980,"","","",LORD HOWE,-31  33  00, 159  04  00,-31  32  54, 159  04  04,LORD HOWE ISLAND,LORD HOWE ISLAND,,LORD HOWE ISLAND,LORD HOWE ISLAND,A beach to the south of Kings Beach and about 1 km NW of Mount Lidgbird.          ,   ,Fish locally known as salmon were caught here.    ,  
51067,Saltwater Beach,BEACH,VARIANT,"",Diamond Beach,"","","",-32  02  00, 152  32  00,-32  01  54, 152  32  04,"",FORSTER,9433,"","",           ,   ,    ,  
51068,Saltwater Beach,BEACH,ASSIGNED,12th September 1975,"",Diamond Beach; Red Head Beach Nr.,"",GREATER TAREE,-32  01  00, 152  33  00,-32  00  54, 152  33  04,HALLIDAYS POINT,FORSTER,9433,BERYAN,GLOUCESTER,A beach extending north from Soft Rocks to Saltwater Point for 3 km.           ,   ,    ,  
51182,Sanctuary Beach,BEACH,ASSIGNED,25th February 1972,"",Palm Beach,GNB851,SHOALHAVEN,-35  07  00, 150  38  00,-35  06  54, 150  38  04,CURRARONG,JERVIS BAY,9027,BHERWERRE,ST VINCENT,Beach on northern shore of St. Georges Basin west of Sanctuary Point.           ,   ,    ,  
51261,Sandy Beach,BEACH,VARIANT,"",Portuguese Beach,"","","",-33  36  30, 151  18  00,-33  36  24, 151  18  04,"",SYDNEY,9130,"","",           ,   ,    ,  
51271,Sandy Beach,BEACH,ASSIGNED,12th June 1981,"","","",SNOWY RIVER,-36  24  00, 148  39  00,-36  23  54, 148  39  04,JINDABYNE,BERRIDALE,8625,JINDERBOINE,WALLACE,A beach in Willow Bay about 1 km ENE of Tyrolean Village and 2 km W of Jinderboine Hill.          ,   ,    ,  
51273,Sandy Beach,BEACH,ASSIGNED,24th October 1975,"","","",WYONG,-33  08  00, 151  33  00,-33  07  54, 151  33  04,CATHERINE HILL BAY,LAKE MACQUARIE,9231,WALLARAH,NORTHUMBERLAND,A beach about 3 km ESE of Bird Cage Point and about 3 km NNW of Chain Valley Bay.          ,   ,    ,  
51274,Sandy Beach,BEACH,VARIANT,"",Birdie Beach,"","","",-33  13  00, 151  36  00,-33  12  54, 151  36  04,"",LAKE MACQUARIE,9231,"","",           ,   ,    ,  
51275,Sandy Beach,BEACH,ASSIGNED,11th April 1977,"",Snapperman Beach,GNB4131,PITTWATER,-33  36  14, 151  19  04,-33  36  08, 151  19  08,BROKEN BAY,SYDNEY,9130,NARRABEEN,CUMBERLAND,A beach on Pittwater extending South of Sand Point.           ,   ,    ,  
51276,Sandy Beach,BEACH,ASSIGNED,27th April 1984,"","","",LEETON,-34  43  00, 146  27  00,-34  42  54, 146  27  04,GOGELDRIE WEIR,YANCO,8128,CUDGEL,COOPER,a beach on the Murrumbidgee River about 9 km S by W of Roach.           ,   ,    ,  
51575,Sandy Beach,BEACH,ASSIGNED,17th May 2002,"",Diamond Head,"",COFFS HARBOUR,-30  09  00, 153  12  00,-30  08  54, 153  12  04,MOONEE BEACH,COFFS HARBOUR,9537,WOOLGOOLGA,FITZROY,A coastal beach about 2.5 km North East by North of the locality of Emerald Beach.          ,   ,    ,  
51933,Scarborough Beach,BEACH,ASSIGNED,2nd April 1976,"","","",WOLLONGONG,-34  16  30, 150  57  30,-34  16  24, 150  57  34,BULLI,WOLLONGONG,9029,SOUTHEND,CUMBERLAND,A coastal beach about 1 km ENE of Wombarra.           ,   ,    ,  
52066,Scotts Beach,BEACH,ASSIGNED,8th March 1985,"","","",BERRIGAN,-35  55  00, 145  40  00,-35  54  54, 145  40  04,TOCUMWAL,BERRIGAN,8026,BAROOGA,DENISON,A beach on the north side of the Murray River about 2 km ESE of Cobram.          ,   ,    ,  
52098,Scouts Beach,BEACH,VARIANT,"",Cobrooga Beach,"","","",-35  55  00, 145  40  00,-35  54  54, 145  40  04,"",BERRIGAN,8026,"","",           ,   ,    ,  
52381,Seven Mile Beach,BEACH,ASSIGNED,21st May 1971,"","","",BYRON,-28  45  00, 153  36  00,-28  44  54, 153  36  04,BALLINA,BALLINA,9640,NEWRYBAR,ROUS,Beach extending south from Schnapper Rock to Lennox Head.           ,   ,    ,  
52382,Seven Mile Beach,BEACH,ASSIGNED,12th September 1975,"","","",GREAT LAKES,-32  18  00, 152  32  00,-32  17  54, 152  32  04,PACIFIC PALMS,FORSTER,9433,FORSTER,GLOUCESTER,"A beach extending N from Booti Hill, for about 10 km. It is about 3 km SE of Snake Island.          ",   ,    ,  
52383,Seven Mile Beach,BEACH,ASSIGNED,23rd February 1973,"","","",SHOALHAVEN,-34  49  00, 150  46  00,-34  48  54, 150  46  04,GERROA,KIAMA,9028,COOLANGATTA,CAMDEN,Beach facing Shoalhaven Bight extending from the mouth of Crooked River south to Shoalhaven Heads.          ,   ,    ,  
52414,Seven Shillings Beach,BEACH,ASSIGNED,18th February 1977,"","","",WOOLLAHRA,-33  52  00, 151  14  00,-33  51  54, 151  14  04,PARRAMATTA RIVER,SYDNEY,9130,ALEXANDRIA,CUMBERLAND,A beach on the shore of Double Bay about 3 km S by E of Taronga Zoological Park.          ,   ,    ,  
52522,Shark Beach,BEACH,ASSIGNED,16th July 1976,"","","",WOOLLAHRA,-33  51  00, 151  16  00,-33  50  54, 151  16  04,SYDNEY HEADS,SYDNEY,9130,ALEXANDRIA,CUMBERLAND,A beach about 1km N of Hermit Point and about 2km SW by W of Gap Bluff           ,   ,    ,  
52534,Shark Net Beach,BEACH,ASSIGNED,18th January 1985,"","",GNB2656,SHOALHAVEN,-35  02  29, 150  40  21,-35  02  23, 150  40  25,HUSKISSON,JERVIS BAY,9027,CURRAMBENE,ST VINCENT,"A beach about 200 metres long, located at Huskisson about 400 metres NW of Tapalla Point.          ",   ,Beach takes the name from the shark net that used to safeguard the beach. It is believed that the sharknet was part of a World War 2 submarine net.  ,  
