REFERENCE,PLACENAME,DESIGNATION,STATUS,GAZETTE DATE,GEOGRAPHICAL NAME,PREVIOUS NAMES,GNB FILE,LGA,APPROX. AGD66 LAT,APPROX. AGD66 LONG,APPROX. GDA94 LAT,APPROX. GDA94 LONG,AGD66 TOPO MAP,1:100000 MAP NAME,1:100000 MAP NO,PARISH,COUNTY,DESCRIPTION,MEANING,ORIGIN,HISTORY
37557,Middle Beach,BEACH,ASSIGNED,22nd February 1974,"","","",BEGA VALLEY,-36  38  56, 150  00  34,-36  38  50, 150  00  38,BEGA,BEGA,8824,TANJA,DAMPIER,A coastal beach about 4 km N by E of Baronda Head.           ,   ,    ,  
37558,Middle Beach,BEACH,ASSIGNED,29th October 1971,"","","",KEMPSEY,-30  46  17, 152  59  47,-30  46  11, 152  59  51,EUNGAI,MACKSVILLE,9436,YARRAHAPINNI,DUDLEY,Coastal beach between Middle Head and Scotts Head.           ,   ,    ,  
37584,Middle Camp Beach,BEACH,ASSIGNED,31st August 1973,"","","",LAKE MACQUARIE,-33  09  00, 151  38  00,-33  08  54, 151  38  04,CATHERINE HILL BAY,LAKE MACQUARIE,9231,WALLARAH,NORTHUMBERLAND,A beach about 2km long. It starts at the Gorge extending S to The Gulf and is about 3km E by S of Browns Point.          ,   ,    ,  
37788,The Middy,BEACH,ASSIGNED,19th December 1986,"","","",SHELLHARBOUR,-34  36  00, 150  53  00,-34  35  54, 150  53  04,ALBION PARK,KIAMA,9028,TERRAGONG,CAMDEN,A small beach located about 1 km west of Bass Point and about 3 km SE of Shellharbour.          ,   ,    ,  
37897,Milk Beach,BEACH,ASSIGNED,16th July 1976,"","","",WOOLLAHRA,-33  51  30, 151  16  00,-33  51  24, 151  16  04,SYDNEY HEADS,SYDNEY,9130,ALEXANDRIA,CUMBERLAND,A beach on Sydney Harbour about 2 km S by E of Georges Head.           ,   ,    ,  
37923,Mill Beach,BEACH,ASSIGNED,9th July 1982,"","","",EUROBODALLA,-35  40  00, 150  18  00,-35  39  54, 150  18  04,DURRAS,BATEMANS BAY,8926,BENANDARAH,ST VINCENT,A beach which lies between Cookies Beach and Mill Point about 1 km E by S of Durras and 1 km W of Wasp Island.          ,   ,    ,  
37924,Mill Beach,BEACH,ASSIGNED,29th September 1972,"","","",BEGA VALLEY,-36  30  00, 150  03  00,-36  29  54, 150  03  04,BERMAGUI,NAROOMA,8925,MURRAH,DAMPIER,A coastal beach between Mill Point and Barragga Point about 8 km SSW of Bermagui South.          ,   ,    ,  
38186,Miners Beach,BEACH,ASSIGNED,29th June 1973,"","","",HASTINGS,-31  28  00, 152  56  00,-31  27  54, 152  56  04,PORT MACQUARIE,KEMPSEY,9435,MACQUARIE,MACQUARIE,A beach on the north coast between Shelly Beach and Tacking Point. It is about 4 km SE by S of the town of Port Macquarie and within the Sea Acres Nature Reserve.         ,   ,    ,  
38233,Minnamurra Beach,BEACH,ASSIGNED,7th September 1973,"","","",SHELLHARBOUR,-34  37  00, 150  51  30,-34  36  54, 150  51  34,ALBION PARK,KIAMA,9028,TERRAGONG,CAMDEN,A beach about 2 km long.  It is about 2 km SE by S of Dunmore and E of Minnamurra.          ,   ,    ,  
38626,Mollymook Beach,BEACH,ASSIGNED,22nd December 1967,"","","",SHOALHAVEN,-35  20  00, 150  29  00,-35  19  54, 150  29  04,MILTON,ULLADULLA,8927,ULLADULLA,ST VINCENT,A beach about 2 km long on the N.S.W. coast about 2.5 km north of Ulladulla Harbour.          ,   ,    ,  
38702,Mona Vale Beach,BEACH,ASSIGNED,11th March 1977,"",; Bongin Bongin Beach (Nr),"",PITTWATER,-33  41  00, 151  18  00,-33  40  54, 151  18  04,MONA VALE,SYDNEY,9130,NARRABEEN,CUMBERLAND,"A coastal beach east of Mona Vale, about 2 km S by E of Bushrangers Hill.          ",   ,    ,  
38833,Monument Beach,BEACH,ASSIGNED,17th November 1972,"","","",SHOALHAVEN,-35  14  00, 150  32  00,-35  13  54, 150  32  04,SUSSEX INLET,JERVIS BAY,9027,CUDMIRRAH,ST VINCENT,A coastal beach about 3 km S by W of Berrara.           ,   ,    ,  
38851,Mooball Beach,BEACH,ASSIGNED,2nd July 1971,"","","",TWEED,-28  26  00, 153  33  00,-28  25  54, 153  33  04,POTTSVILLE,TWEED HEADS,9641,MOOBALL,ROUS,A coastal beach east of Mooball Creek  between Pottsville Beach in the north and Wooyung Beach in the south.          ,   ,    ,  
39005,Moonee Beach,BEACH,ASSIGNED,31st August 1973,"",Moon Island Beach,"",LAKE MACQUARIE,-33  10  10, 151  37  50,-33  10  04, 151  37  54,CATHERINE HILL BAY,LAKE MACQUARIE,9231,WALLARAH,NORTHUMBERLAND,A coastal beach about 6 km ENE of the village Lake Munmorah.           ,   ,    ,  
39008,Moonee Beach,BEACH,ASSIGNED,17th November 1972,"","","",COFFS HARBOUR,-30  11  37, 153  10  11,-30  11  31, 153  10  15,MOONEE BEACH,COFFS HARBOUR,9537,MOONEE,FITZROY,A coastal beach extending about 4.5 km. North East of the locality of the same name.          ,   ,"See Moonee Beach, designation locality.    ",  
39041,Moon Island Beach,BEACH,VARIANT,"",Moonee Beach,"","","",-33  10  10, 151  37  50,-33  10  04, 151  37  54,"",LAKE MACQUARIE,9231,"","",           ,   ,    ,  
39133,Moores Beach,BEACH,ASSIGNED,8th March 1985,"",Bouchiers or Irvines Beach,"",BERRIGAN,-35  49  00, 145  32  00,-35  48  54, 145  32  04,TOCUMWAL,BERRIGAN,8026,TOCUMWAL,DENISON,A beach on the south side of the Murray River about 2 km south of Tocumwal.          ,   ,    ,  
39134,Moores Beach,BEACH,VARIANT,"",Clems Beach,"","","",-35  49  00, 145  33  00,-35  48  54, 145  33  04,"",BERRIGAN,8026,"","",           ,   ,    ,  
40191,Mulberry Beach,BEACH,ASSIGNED,8th March 1985,"","","",BERRIGAN,-35  49  00, 145  33  00,-35  48  54, 145  33  04,TOCUMWAL,BERRIGAN,8026,TOCUMWAL,DENISON,A beach on the south side of the Murray River at Tocumwal about 300 metres east of the railway bridge.          ,   ,    ,  
40289,Mullaway Beach,BEACH,ASSIGNED,17th November 1972,"","","",COFFS HARBOUR,-30  04  00, 153  12  00,-30  03  54, 153  12  04,WOOLGOOLGA,COFFS HARBOUR,9537,WOOLGOOLGA,FITZROY,A coastal beach about 4.5 km N of the Town of Woolgoolga.           ,   ,    ,  
40599,Mungo Beach,BEACH,ASSIGNED,12th November 1976,"","","",GREAT LAKES,-32  32  00, 152  19  00,-32  31  54, 152  19  04,BOMBAH POINT,PORT STEPHENS,9332,EURUNDEREE,GLOUCESTER,A beach extending to the north and south of Mungo Brush.           ,   ,    ,  
40777,Murrah Beach,BEACH,ASSIGNED,22nd February 1974,"","","",BEGA VALLEY,-36  32  00, 150  04  00,-36  31  54, 150  04  04,MURRAH,GOALEN POINT,8924,MURRAH,DAMPIER,A coastal beach extending from Murrah Head for about 2.5 km finishing at Bunga Beach.          ,   ,    ,  
40789,Murramarang Beach,BEACH,ASSIGNED,22nd December 1967,"","","",SHOALHAVEN,-35  31  00, 150  24  00,-35  30  54, 150  24  04,KIOLOA,BATEMANS BAY,8926,TERMEIL,ST VINCENT,A beach about 1.25 km long situated on the south coast of N.S.W and running generally north north west from Murramarang Point.          ,   ,    ,  
41177,Myrtle Beach,BEACH,ASSIGNED,22nd December 1967,"","","",EUROBODALLA,-35  41  00, 150  18  00,-35  40  54, 150  18  04,DURRAS,BATEMANS BAY,8926,BENANDARAH,ST VINCENT,"Beach approximately 0.5 km long and on the Tasman Sea about 2.5 km south, from Durras.          ",   ,    ,  
41252,Nadgee Beach,BEACH,ASSIGNED,5th March 1976,"","","",BEGA VALLEY,-37  26  00, 149  58  00,-37  25  54, 149  58  04,NADGEE,EDEN,8823,HOWE,AUCKLAND,A beach in Nadgee Nature Reserve on the South Coast about 3 km NNE of Nadgee Lake.          ,   ,    ,  
41490,Narooma Beach,BEACH,ASSIGNED,7th July 1972,"",Surf Beach,"",EUROBODALLA,-36  14  00, 150  08  00,-36  13  54, 150  08  04,NAROOMA,NAROOMA,8925,NAROOMA,DAMPIER,A coastal beach at Narooma extending south to Glasshouse Rocks.           ,   ,    ,  
41504,Narrabeen Beach,BEACH,ASSIGNED,11th March 1977,"",Long Reef or Narrabeen Beach,"",WARRINGAH,-33  43  00, 151  18  00,-33  42  54, 151  18  04,MONA VALE,SYDNEY,9130,MANLY COVE,CUMBERLAND,A coastal beach about 2 km long on the eastern side of Narrabeen Peninsula south of the entrance to Narrabeen Lakes.          ,   ,    ,  
41846,Neds Beach,BEACH,ASSIGNED,18th April 1980,"","","",LORD HOWE,-31  31  00, 159  04  00,-31  30  54, 159  04  04,LORD HOWE ISLAND,LORD HOWE ISLAND,,LORD HOWE ISLAND,LORD HOWE ISLAND,A beach in the head of the bay between Malabar Hill and Hells Gates about 800 m NW by W of Jims Point.          ,   ,Named after Ned Nesbit.    ,  
41946,Nelson Beach,BEACH,ASSIGNED,22nd February 1974,"","","",BEGA VALLEY,-36  41  00, 149  59  00,-36  40  54, 149  59  04,BEGA,BEGA,8824,TANJA,DAMPIER,A coastal beach about 1.5 km NE of Mogareka Inlet.           ,   ,    ,  
41957,Nelsons Beach,BEACH,ASSIGNED,17th November 1972,"","","",SHOALHAVEN,-35  05  00, 150  42  00,-35  04  54, 150  42  04,HUSKISSON,JERVIS BAY,9027,BHERWERRE,ST VINCENT,A beach between Plantation Point and Blenheim Beach about 4.5 km SSE of Town of Huskisson.          ,   ,    ,  
42011,Neranie Sands,BEACH,ASSIGNED,14th January 1977,"","","",GREAT LAKES,-32  25  00, 152  27  00,-32  24  54, 152  27  04,MYALL LAKE,BULAHDELAH,9333,FORSTER,GLOUCESTER,A beach extending for about 1km. It is about 1km W of Bridge Hill and about 4km E by S of Corrigans Island.          ,   ,    ,  
42118,Nevins Beach,BEACH,ASSIGNED,8th March 1985,"",Nevin Beach East,"",BERRIGAN,-35  57  00, 145  53  00,-35  56  54, 145  53  04,TOCUMWAL,BERRIGAN,8026,BOOMANOOMANA,DENISON,"A beach on the south side of the Murray River, about 19 km E by S of Barooga and about 5.5 km S by E of Gwynne Hill.          ",   ,    ,  
42119,Nevin Beach East,BEACH,VARIANT,"",Nevins Beach,"","","",-35  57  00, 145  53  00,-35  56  54, 145  53  04,"",BERRIGAN,8026,"","",           ,   ,    ,  
42143,Newcastle Beach,BEACH,ASSIGNED,7th October 1977,"","","",NEWCASTLE,-32  56  00, 151  47  00,-32  55  54, 151  47  04,NEWCASTLE,NEWCASTLE,9232,NEWCASTLE,NORTHUMBERLAND,A beach about 1 km long. It is about 0.5 km SW of Flagstaff Hill and about 1 km NE by E of Shepherds Hill.          ,   ,    ,  
42256,Newport Beach,BEACH,ASSIGNED,21st January 1977,"","","",PITTWATER,-33  39  00, 151  19  00,-33  38  54, 151  19  04,MONA VALE,SYDNEY,9130,NARRABEEN,CUMBERLAND,A coastal beach about 1 km SE by S of Bilgola Plateau and about 1 km NW of Little Reef.          ,   ,    ,  
42304,Newtons Beach,BEACH,ASSIGNED,20th June 1975,"","","",BEGA VALLEY,-37  22  00, 149  57  00,-37  21  54, 149  57  04,NARRABARBA,EDEN,8823,HOWE,AUCKLAND,A beach about 2km SE by S of Tumbledown Mountain and about 9km S by E of Greenglade.          ,   ,    ,  
42464,Nine Mile Beach,BEACH,ASSIGNED,25th July 1975,"",Tuncurry Beach,"",GREATER TAREE,-32  07  00, 152  30  00,-32  06  54, 152  30  04,HALLIDAYS POINT,FORSTER,9433,TUNCURRY,GLOUCESTER,A beach about 11 km long. It extends from Diamond Reef down to Cape Hawke Harbour and is about 3 km SSE of Frogalla Swamp.          ,   ,    ,  
42465,Nine Mile Beach,BEACH,ASSIGNED,11th May 1973,"","","",LAKE MACQUARIE,-33  02  40, 151  40  40,-33  02  34, 151  40  44,SWANSEA,LAKE MACQUARIE,9231,KAHIBAH,NORTHUMBERLAND,"A beach about 8 km long, between Blacksmiths Beach and Freshwater Creek about 3 km E of Belmont.          ",   ,    ,  
42556,Nobbys Beach,BEACH,ASSIGNED,6th April 1973,"","","",HASTINGS,-31  27  00, 152  56  00,-31  26  54, 152  56  04,PORT MACQUARIE,KEMPSEY,9435,MACQUARIE,MACQUARIE,"A beach on the North Coast between Nobby Head and Flynns Beach, ESE of the town of Port Macquarie.          ",   ,    ,  
42557,Nobbys Beach,BEACH,ASSIGNED,23rd December 1977,"","","",NEWCASTLE,-32  55  30, 151  47  30,-32  55  24, 151  47  34,NEWCASTLE,NEWCASTLE,9232,NEWCASTLE,NORTHUMBERLAND,A beach about 1 km long. It extends generally SW about 0.5 km WSW of Big Ben Rock to Flagstaff Hill.          ,   ,    ,  
42697,North Beach,BEACH,ASSIGNED,18th April 1980,"","","",LORD HOWE,-31  31  00, 159  02  00,-31  30  54, 159  02  04,LORD HOWE ISLAND,LORD HOWE ISLAND,,LORD HOWE ISLAND,LORD HOWE ISLAND,A beach on North Bay about 500 m SSE of Mount Eliza.           ,   ,    ,  
42698,North Beach,BEACH,ASSIGNED,14th May 1976,"",Port Kembla Beach,"",WOLLONGONG,-34  29  00, 150  54  30,-34  28  54, 150  54  34,WOLLONGONG,WOLLONGONG,9029,WOLLONGONG,CAMDEN,A beach about 2.5 km SE of Tom Thumb Trig Station and about 1.5 km NNW of Red Point.          ,   ,    ,  
42717,North Beach,BEACH,ASSIGNED,22nd December 1967,"","","",SHOALHAVEN,-35  30  00, 150  23  00,-35  29  54, 150  23  04,KIOLOA,BATEMANS BAY,8926,TERMEIL,ST VINCENT,Situated on the south coast of N.S.W between Willinga Point and Nuggan Point. It is about 5 km generally east south east of Termeil and north of the village of Bawley Point at the eastern extremity of Willinga Lake.        ,   ,    ,  
42718,North Beach,BEACH,VARIANT,"",Grants Beach,"","","",-31  36  00, 152  50  00,-31  35  54, 152  50  04,"",CAMDEN HAVEN,9434,"","",           ,   ,    ,  
42719,North Beach,BEACH,ASSIGNED,19th December 1969,"","","",BELLINGEN,-30  28  00, 153  03  00,-30  27  54, 153  03  04,RALEIGH,COFFS HARBOUR,9537,NORTH BELLINGEN,RALEIGH,Beach at Mylestom on the north coast extending from the mouth of the Bellinger River north for about 7 km to Tuckers Rocks.          ,   ,    ,  
42720,North Beach,BEACH,VARIANT,"",Providence Beach,"","","",-32  37  00, 152  19  00,-32  36  54, 152  19  04,"",PORT STEPHENS,9332,"","",           ,   ,    ,  
42721,North Beach,BEACH,VARIANT,"",Fishermans Beach,"","",WOLLONGONG,-34  29  00, 150  54  30,-34  28  54, 150  54  34,"",WOLLONGONG,9029,"","",           ,   ,    ,  
42804,North Curl Curl Beach,BEACH,ASSIGNED,3rd September 1976,"","","",WARRINGAH,-33  46  00, 151  18  00,-33  45  54, 151  18  04,SYDNEY HEADS,SYDNEY,9130,MANLY COVE,CUMBERLAND,A coastal beach about 1 km S of North Curl Curl and north of Greendale Creek.          ,   ,    ,  
42813,North Entrance Beach,BEACH,ASSIGNED,13th March 2015,Tuggerah Beach,"",GNB5704,"",-33  20  08, 151  30  27,-33  20  02, 151  30  31,"",LAKE MACQUARIE,9231,"","","A beach extendng from the southern end of Magenta Beach, south to the inlet of Tuggerah Lake.          ",   ,    ,  
42853,North Head Beach,BEACH,ASSIGNED,22nd December 1967,"","","",EUROBODALLA,-35  43  00, 150  16  00,-35  42  54, 150  16  04,DURRAS,BATEMANS BAY,8926,BENANDARAH,ST VINCENT,"A beach approximately 0.5 km long, situated between North Head on the east and Three Islet Reef on the west.          ",   ,    ,  
42895,North Palm Beach,BEACH,DISCONTINUED,"","","","","",-33  35  30, 151  19  30,-33  35  24, 151  19  34,"",SYDNEY,9130,"","",           ,   ,    ,  
42926,North Shore Beach,BEACH,ASSIGNED,11th October 1974,"","","",HASTINGS,-31  22  00, 152  56  00,-31  21  54, 152  56  04,PORT MACQUARIE,KEMPSEY,9435,TORRENS,MACQUARIE,"A beach that extends from Pelican Point to Point Plomer, about 12 km long.          ",   ,    ,  
42928,North Smoky Beach,BEACH,ASSIGNED,29th October 1971,"","","",KEMPSEY,-30  55  00, 153  05  00,-30  54  54, 153  05  04,SOUTH WEST ROCKS,NAMBUCCA,9536,ARAKOON,MACQUARIE,A beach on the E coast Extending about 1/2 km between Green Island and Smoky Cape.          ,   ,    ,  
42938,North Steyne Beach,BEACH,ASSIGNED,16th July 1976,"","","",MANLY,-33  47  30, 151  17  00,-33  47  24, 151  17  04,SYDNEY HEADS,SYDNEY,9130,MANLY COVE,CUMBERLAND,A beach between Manly Beach and Queenscliff Beach and about 1km N by E of Manly Wharf.          ,   ,    ,  
43171,No. 1 Beach,BEACH,VARIANT,"",Cormorant Beach,"","","",-34  31  00, 150  24  00,-34  30  54, 150  24  04,"",BATEMANS BAY,8926,"","",           ,   ,    ,  
43172,Number One Beach,BEACH,ASSIGNED,12th September 1975,"","","",GREAT LAKES,-32  25  00, 152  31  00,-32  24  54, 152  31  04,SEAL ROCKS,FORSTER,9433,FORSTER,GLOUCESTER,"A beach about 1.5 km NW of Seal Rocks. It is about 1 km long, and is about 3 km N of Treachery Head.          ",   ,    ,  
43372,Oakey Beach,BEACH,VARIANT,"",Oaky Beach,"","","",-35  42  15, 150  17  00,-35  42  09, 150  17  04,"",BATEMANS BAY,8926,"","",           ,   ,    ,  
43531,Oaky Beach,BEACH,ASSIGNED,4th February 1968,"",Oakey Beach,"",EUROBODALLA,-35  42  15, 150  17  00,-35  42  09, 150  17  04,DURRAS,BATEMANS BAY,8926,BENANDARAH,ST VINCENT,"Beach approximately 0.5 km long, and about 4.5 km generally south of Durras, on the Tasman Sea.          ",   ,    ,  
43829,Ocean Beach,BEACH,ASSIGNED,22nd February 1974,"","","",GOSFORD,-33  31  37, 151  19  06,-33  31  31, 151  19  10,BROKEN BAY,SYDNEY,9130,PATONGA,NORTHUMBERLAND,A beach at Umina on Broken Bay.           ,   ,    ,  
43836,Ocean View Beach,BEACH,ASSIGNED,23rd April 1982,"","","",COFFS HARBOUR,-30  03  00, 153  12  00,-30  02  54, 153  12  04,WOOLGOOLGA,COFFS HARBOUR,9537,WOOLGOOLGA,FITZROY,A beach which lies S of Arrawarra and 1500 metres N by E of Mullaway.           ,   ,    ,  
44029,Old Settlement Beach,BEACH,ASSIGNED,18th April 1980,"",Thompsons Beach,"",LORD HOWE,-31  31  00, 159  03  00,-31  30  54, 159  03  04,LORD HOWE ISLAND,LORD HOWE ISLAND,,LORD HOWE ISLAND,LORD HOWE ISLAND,A beach on Hunter Bay about 800 m NNW of Signal Point.           ,   ,    ,  
44137,One Horse Sands,BEACH,ASSIGNED,14th January 1977,"","","",GREAT LAKES,-32  26  00, 152  26  00,-32  25  54, 152  26  04,MYALL LAKE,BULAHDELAH,9333,FORSTER,GLOUCESTER,A beach extending for about 1 km and is about 2 km E of Kataway Hill.           ,   ,    ,  
44145,One Mile Beach,BEACH,ASSIGNED,12th September 1975,"","","",GREAT LAKES,-32  11  00, 152  32  00,-32  10  54, 152  32  04,FORSTER,FORSTER,9433,FORSTER,GLOUCESTER,"A beach S of Bennetts Head about 1 km long, and about 3 km NE by N of Forster Keys.          ",   ,    ,  
