Manly, -33.8088, 151.3073
Whale Beach, -33.6184, 151.3405
North Curl Curl, -33.7670, 151.3025
South Curl Curl, -33.7760, 151.2941
Sydney Harbour, -33.8214, 151.2904
Little Bay, -33.9776, 151.2576
Malabar, -33.9680, 151.2663
La Perouse, -33.9951, 151.2370
Bondi Beach, -33.8925, 151.2778
Dixon Bay, -33.9014, 151.2720
Coogee Beach, -33.9212, 151.2589
